name,connections,rps,lat_avg_ms,lat_stdev_ms,lat_max_ms,p99_ms,timeout_errors
arc,64,1514.61,151.45,302.41,1890.0,1260.0,17
backend,64,1546.97,56.73,193.13,1730.0,1270.0,10
nginx,64,1513.16,130.69,276.55,1890.0,1250.0,11
pingora_min,64,1471.89,126.18,286.26,1880.0,1250.0,18
arc,128,1519.2,84.48,224.56,1920.0,1120.0,17
backend,128,1494.04,58.5,147.43,1750.0,879.58,18
nginx,128,1528.22,73.68,210.78,1890.0,1050.0,16
pingora_min,128,1469.01,86.38,216.8,1890.0,1100.0,24
arc,192,1512.34,68.34,192.99,1890.0,1040.0,20
backend,192,1521.07,28.65,94.69,1710.0,287.33,18
nginx,192,1502.4,83.45,202.3,1880.0,1060.0,23
pingora_min,192,1497.93,53.82,175.63,1860.0,1030.0,29
arc,256,1480.02,124.05,234.09,1980.0,1180.0,28
backend,256,1525.35,35.17,98.94,1710.0,319.41,25
nginx,256,1511.7,41.86,138.28,1880.0,878.32,20
pingora_min,256,1485.07,103.99,236.43,1910.0,1180.0,46
arc,320,1401.7,104.65,191.51,1990.0,1080.0,43
backend,320,1445.05,87.72,180.9,1910.0,1190.0,18
nginx,320,1482.32,78.44,181.19,1890.0,1060.0,63
pingora_min,320,1464.59,57.44,165.39,1890.0,1030.0,18
